Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-7629.1454834849565	-7646.6507729195955	N	-7629.1454834849565	-17.50528943463914
1	-7465.161889619198	-7481.826056074071	2.0	-7465.161889619198	-16.66416645487352
2	-6382.543854709038	-6395.440770136442	3.0	-6382.543854709038	-12.896915427404021
3	-6152.764739746029	-6167.934243028039	4.0	-6152.764739746029	-15.169503282010428
4	-6067.936832152101	-6081.47826511341	3.6	-6067.936832152101	-13.54143296130967
5	-5945.99723944107	-5963.773771808978	3.0	-5945.99723944107	-17.77653236790835
6	-5936.745458221219	-5950.832461144638	3.0	-5936.745458221219	-14.08700292341811
7	-5665.216734936247	-5686.165696046197	3.2	-5665.216734936247	-20.948961109950176
8	-5458.4310965193135	-5478.478140400685	3.4	-5458.4310965193135	-20.0470438813719
9	-5427.066714801265	-5443.31360282967	3.9	-5427.066714801265	-16.246888028404978
10	-5403.289495469634	-5420.03137018691	3.7	-5403.289495469634	-16.741874717275774
11	-5376.526247166648	-5389.641787475425	3.4	-5376.526247166648	-13.115540308776518
12	-5367.20896689825	-5380.550907558183	3.3	-5367.20896689825	-13.341940659932892
13	-5322.1199570749695	-5334.890364292578	3.3	-5322.1199570749695	-12.770407217607993
14	-5316.544040047178	-5332.191332246566	3.4	-5316.544040047178	-15.647292199388035
15	-5307.471488874989	-5323.677674382095	3.5	-5307.471488874989	-16.206185507106152
16	-5306.605825691496	-5322.179137048106	3.5	-5306.605825691496	-15.57331135661022
17	-5306.298628284131	-5318.804998794327	3.5	-5306.298628284131	-12.506370510195826
18	-5304.214516745805	-5318.8090328165845	3.6	-5304.214516745805	-14.59451607077935
19	-5301.2056150629005	-5318.937692563097	3.1	-5301.2056150629005	-17.732077500196567
20	-5300.887382912035	-5316.303387813325	3.1	-5300.887382912035	-15.416004901289792
21	-5298.443430516602	-5313.477772276546	3.2	-5298.443430516602	-15.034341759943288
22	-5297.279006229694	-5317.927526232066	3.3	-5297.279006229694	-20.648520002372283
23	-5297.123904930005	-5311.838207212626	3.4	-5297.123904930005	-14.714302282621155
24	-5295.381983257298	-5311.298591905159	3.6	-5295.381983257298	-15.91660864786062
25	-5295.185923715212	-5310.496910257566	3.7	-5295.185923715212	-15.31098654235427
26	-5295.171222208885	-5311.24488138297	3.8	-5295.171222208885	-16.073659174083925
27	-5294.844828019896	-5312.347605359422	4.0	-5294.844828019896	-17.502777339526034
28	-5293.964855115596	-5311.248365092864	4.1	-5293.964855115596	-17.283509977268427
29	-5293.531218915488	-5310.222960264128	4.5	-5293.531218915488	-16.69174134864025
30	-5291.567596278871	-5308.77203864568	4.6	-5291.567596278871	-17.204442366809673
31	-5290.760684422796	-5308.534032782498	4.7	-5290.760684422796	-17.7733483597025
32	-5289.481310848376	-5305.942833511134	4.9	-5289.481310848376	-16.461522662758675
33	-5288.553364245917	-5306.389810177179	5.0	-5288.553364245917	-17.836445931262073
34	-5288.298592660095	-5306.200149560882	5.1	-5288.298592660095	-17.901556900786556
35	-5287.9127617659005	-5305.5229948706765	5.2	-5287.9127617659005	-17.610233104776157
36	-5287.862723525568	-5304.279926669192	5.4	-5287.862723525568	-16.41720314362348
37	-5287.7185142975495	-5304.362886196814	5.5	-5287.7185142975495	-16.64437189926417
38	-5287.259860754635	-5304.422759420088	5.7	-5287.259860754635	-17.16289866545291
39	-5286.956078327365	-5304.819704504051	6.4	-5286.956078327365	-17.86362617668574
40	-5285.967673270808	-5304.862680745727	6.5	-5285.967673270808	-18.895007474918902
41	-5285.74295717608	-5303.610438172188	6.7	-5285.74295717608	-17.86748099610794
42	-5285.7077105210665	-5305.010663890907	6.9	-5285.7077105210665	-19.302953369840793
43	-5285.677187850968	-5304.3118419829625	7.0	-5285.677187850968	-18.63465413199421
